Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
未完成ドリーム！,1,未完成ドリーム！,Mikansei Dream!,미완성 드림!,椿ルリカ;北条ユキノ;皇ユズハ;天草ヒカル;三笠マーヤ;滝沢アンズ;来栖トア;若槻ミスズ;晴風サヤカ;鈴賀レナ,Rurika Tsubaki;Yukino Hojo;Yuzuha Sumeragi;Hikaru Amakusa;Maya Mikasa;Anzu Takizawa;Toa Kurusu;Misuzu Wakatsuki;Rena Suzuka;Sayaka Harukaze,츠바키 루리카;호죠 유키노;스메라기 유즈하;아마쿠사 히카루;미카사 마야;타키자와 안즈;쿠루스 토아;와카츠키 미스즈;하루카제 사야카;스즈카 레나,畑 亜貴,Aki Hata,하타 아키,小島良太,Ryota Kojima,코지마 료타,久下真音,Kushita Mine,쿠시타 마인,2022-12-10,https://youtu.be/4PK_yK86Pgg,Musical,,みかんせいドリーム！
未完成ドリーム！,2,未完成ドリーム！（椿咲花女子高等学校Ver.）,Mikansei Dream! (Tsubakisakuhana Joshi High School Ver.),미완성 드림! (츠바키사쿠하나 여자고등학교 Ver.),椿ルリカ;北条ユキノ;皇ユズハ;天草ヒカル;三笠マーヤ,Rurika Tsubaki;Yukino Hojo;Yuzuha Sumeragi;Hikaru Amakusa;Maya Mikasa,츠바키 루리카;호죠 유키노;스메라기 유즈하;아마쿠사 히카루;미카사 마야,畑 亜貴,Aki Hata,하타 아키,小島良太,Ryota Kojima,코지마 료타,久下真音,Kushita Mine,쿠시타 마인,2022-12-10,https://youtu.be/vSQKKX9feD0,,,みかんせいドリーム！つばきさくはなじょしこうとうがっこう バージョン
未完成ドリーム！,3,未完成ドリーム！（滝桜女学院高等学校Ver.）,Mikansei Dream! (Takizakura Jogakuin High School Ver.),미완성 드림! (타키자쿠라 여학원 Ver.),滝沢アンズ;来栖トア;若槻ミスズ;晴風サヤカ;鈴賀レナ,Anzu Takizawa;Toa Kurusu;Misuzu Wakatsuki;Rena Suzuka;Sayaka Harukaze,타키자와 안즈;쿠루스 토아;와카츠키 미스즈;하루카제 사야카;스즈카 레나,畑 亜貴,Aki Hata,하타 아키,小島良太,Ryota Kojima,코지마 료타,久下真音,Kushita Mine,쿠시타 마인,2022-12-10,https://youtu.be/R2mLIuSgeeM,,,みかんせいドリーム！ たきざくらじょがくいんこうとうがっこう
未完成ドリーム！,4,未完成ドリーム！ (Off Vocal),Mikansei Dream! (Off Vocal),미완성 드림! (Off Vocal),椿ルリカ;北条ユキノ;皇ユズハ;天草ヒカル;三笠マーヤ;滝沢アンズ;来栖トア;若槻ミスズ;晴風サヤカ;鈴賀レナ,Rurika Tsubaki;Yukino Hojo;Yuzuha Sumeragi;Hikaru Amakusa;Maya Mikasa;Anzu Takizawa;Toa Kurusu;Misuzu Wakatsuki;Rena Suzuka;Sayaka Harukaze,츠바키 루리카;호죠 유키노;스메라기 유즈하;아마쿠사 히카루;미카사 마야;타키자와 안즈;쿠루스 토아;와카츠키 미스즈;하루카제 사야카;스즈카 레나,畑 亜貴,Aki Hata,하타 아키,小島良太,Ryota Kojima,코지마 료타,久下真音,Kushita Mine,쿠시타 마인,2022-12-10,https://youtu.be/m2vwfJgFmcg,,,みかんせいドリーム！ (オフボーカル)
スクールアイドルミュージカル,1,オーバーチュア(instrumental),Overture (instrumental),서곡,NA,NA,NA,NA,NA,NA,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/F0xhQQxfKoA,,Act 1,オーバーチュア(インストゥルメンタル)
スクールアイドルミュージカル,2,きらりひらり舞う桜,Kirari Hirari Mau Sakura,눈부시게 흩날리는 벚꽃,関根優那（滝沢アンズ役）;西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Yuuna Sekine(as Anzu Takizawa);Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Mayuko Ohara;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,세키네 유우나(타키자와 안즈 역);사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,久下真音,Kushita Mine,쿠시타 마인,2023-05-10,https://youtu.be/mikNJK7JUU0,,Act 1,きらりひらりまうさくら
スクールアイドルミュージカル,3,あなたがセンター,Anata ga Center,당신이 센터,関根優那（滝沢アンズ役）;西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;岡村さやか（滝沢キョウカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Yuuna Sekine(as Anzu Takizawa);Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Sayaka Okamura(as Kyoka Takizawa);Mayuko Ohara;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,세키네 유우나(타키자와 안즈 역);사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);오카무라 사야카(타키자와 쿄카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/phu0gJzubl0,,Act 1,あなたがセンター
スクールアイドルミュージカル,4,夢見る世界,Yume Miru Sekai,꿈꾸는 세상,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/ARWN4cKk0Nc,,Act 1,ゆめみるせかい
スクールアイドルミュージカル,5,伝統の系譜,Dento no Keifu,전통의 계보,堀内まり菜（椿 ルリカ役）;蒼乃夕妃（椿 マドカ役）,Marina Horiuchi(as Rurika Tsubaki);Yuki Aono(as Madoka Tsubaki),호리우치 마리나(츠바키 루리카 역);아오노 유키(츠바키 마도카 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/2GtH8PZDKfU,,Act 1,でんとうのけいふ
スクールアイドルミュージカル,6,目指せメジャーデビュー,Mezase Major Debut,노려라 메이저 데뷔,関根優那（滝沢アンズ役）;西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Yuuna Sekine(as Anzu Takizawa);Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Mayuko Ohara;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,세키네 유우나(타키자와 안즈 역);사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/ZNXZRuR8XjM,,Act 1,めざせメジャーデビュー
スクールアイドルミュージカル,7,輝かしい未来,Kagayakashii Mirai,찬란한 미래,関根優那（滝沢アンズ役）;西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;岡村さやか（滝沢キョウカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Yuuna Sekine(as Anzu Takizawa);Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Sayaka Okamura(as Kyoka Takizawa);Mayuko Ohara;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,세키네 유우나(타키자와 안즈 역);사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);오카무라 사야카(타키자와 쿄카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/kc-1smpEXRY,,Act 1,かがやかしいみらい
スクールアイドルミュージカル,8,なりたい自分,Naritai Jibun,되고 싶은 자신,関根優那（滝沢アンズ役）,Yuuna Sekine(as Anzu Takizawa),세키네 유우나(타키자와 안즈 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/DC0g3Fdm3WA,,Act 1,なりたいじぶん
スクールアイドルミュージカル,9,きらりひらり舞う桜 Reprise,Kirari Hirari Mau Sakura (Reprise),눈부시게 흩날리는 벚꽃 (Reprise),堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;中﨑花音;渡辺菜花,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Kanon Nakazaki;Nanoka Watanabe,호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);나카자키 카논;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太;久下真音,Ryota Kojima;Kushita Mine,코지마 료타;쿠시타 마인,2023-05-10,https://youtu.be/CJ5O7Ea5xZc,,Act 1,きらりひらりまうさくら リプライズ
スクールアイドルミュージカル,10,わが校の流儀,Wa ga Ko no Ryugi,우리 학교의 방식,蒼乃夕妃（椿 マドカ役）;岡村さやか（滝沢キョウカ役）;大原万由子;金子 楓;鈴木まゆり;藤本くるみ;古沢朋恵;森本めい,Yuki Aono(as Madoka Tsubaki);Sayaka Okamura(as Kyoka Takizawa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto,아오노 유키(츠바키 마도카 역);오카무라 사야카(타키자와 쿄카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;후지모토 쿠루미;후루사와 토모에;모리모토 메이,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/psd-npljOtw,,Act 1,わがこうのりゅうぎ
スクールアイドルミュージカル,11,それぞれの役割,Sorezore no Yakuwari,각자의 역할,西葉瑞希（若槻ミスズ役）;岡村さやか（滝沢キョウカ役）,Mizuki Saiba(as Misuzu Wakatsuki);Sayaka Okamura(as Kyoka Takizawa),사이바 미즈키(와카츠키 미스즈 역);오카무라 사야카(타키자와 쿄카 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/dJoGhI7Mex8,,Act 1,それぞれのやくわり
スクールアイドルミュージカル,12,平凡な未来,Heibon na Mirai,평범한 미래,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/Jk01v6en-ic,,Act 1,へいぼんなみらい
スクールアイドルミュージカル,13,噂の転校生,Uwasa no Tenkosei,소문의 전학생,大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/FSPq5FFSdpI,,Act 1,うわさのてんこうせい
