日本語,Romaji,한국어,声優,Seiyuu,성우,Unit
上原歩夢,Ayumu Uehara,우에하라 아유무,大西 亜玖璃,Aguri Onishi,오오니시 아구리,A·ZU·NA
中須かすみ,Kasumi Nakasu,나카스 카스미,相良茉優,Mayu Sagara,사가라 마유,QU4RTZ
桜坂しずく,Shizuku Osaka,오사카 시즈쿠,前田 佳織里,Kaori Maeda,마에다 카오리,A·ZU·NA
朝香果林,Karin Asaka,아사카 카린,久保田未夢,Miyu Kubota,쿠보타 미유,DiverDiva
宮下愛,Ai Miyashita,미야시타 아이,村上 奈津実,Natsumi Murakami,무라카미 나츠미,DiverDiva
近江彼方,Kanata Konoe,코노에 카나타,鬼頭 明里,Akari Kito,키토 아카리,QU4RTZ
優木せつ菜,Setsuna Yuki,유키 세츠나,楠木ともり;林 鼓子,Tomori Kusunoki;Coco Hayashi,쿠스노키 토모리;하야시 코코,A·ZU·NA
エマ・ヴェルデ,Emma Verde,엠마 베르데,指出毬亜,Maria Sashide,사시데 마리아,QU4RTZ
天王寺璃奈,Rina Tennoji,텐노지 리나,田中ちえ美,Chiemi Tanaka,타나카 치에미,QU4RTZ
三船栞子,Shioriko Mifune,미후네 시오리코,小泉 萌香,Moeka Koizumi,코이즈미 모에카,R3BIRTH
ミア・テイラー,Mia Taylor,미아 테일러,内田 秀,Shu Uchida,우치다 슈우,R3BIRTH
鐘嵐珠,Lanzhu Zhong,쇼우 란쥬,法元 明菜,Akina Homoto,호모토 아키나,R3BIRTH