日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note,発音
TOKIMEKI Runners,TOKIMEKI Runners,TOKIMEKI Runners,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,畑 亜貴,Aki Hata,하타 아키,矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),TOKIMEKI Runners,2018-11-21,https://youtu.be/ToT2O8wp0Jo,9 Members Ver.,ときめきランナーズ
夢への一歩,Yume e no Ippo,꿈으로의 한 걸음,上原歩夢,Ayumu Uehara,우에하라 아유무,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,菊地博人,Hiroto Kikuchi,키쿠치 히로토,TOKIMEKI Runners,2018-11-21,https://youtu.be/suWk33wqGrs,,ゆめへのいっぽ
ダイアモンド,Diamond,다이아몬드,中須かすみ,Kasumi Nakasu,나카스 카스미,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,tasuku,tasuku,tasuku,TOKIMEKI Runners,2018-11-21,https://youtu.be/dNYPwvpqAuw,,ダイアモンド
あなたの理想のヒロイン,Anata no Risou no Heroine,당신의 이상적인 히로인,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,月見草,Tsukimisou,츠키미소오,月見草,Tsukimisou,츠키미소오,遠藤ナオキ,Naoki Endo,엔도 나오키,TOKIMEKI Runners,2018-11-21,https://youtu.be/WIqYLm9EH6I,,あなたのりそうのヒロイン
Starlight,Starlight,Starlight,朝香果林,Karin Asaka,아사카 카린,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,TOKIMEKI Runners,2018-11-21,https://youtu.be/1SpOixerr44,,スターライト
めっちゃGoing!!,Meccha Going!!,엄청 Going!!,宮下 愛,Ai Miyashita,미야시타 아이,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Carlos K.,Carlos K.,Carlos K.,TOKIMEKI Runners,2018-11-21,https://youtu.be/zweAj9PDuo4,,めっちゃゴーイング!!
眠れる森に行きたいな,Nemureru Mori ni Ikitai na,잠자는 숲 속으로 가고 싶어,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,TOKIMEKI Runners,2018-11-21,https://youtu.be/wc2QLrW7Gqg,,ねむれるもりにいきたいな
CHASE!,CHASE!,CHASE!,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,tasuku,tasuku,tasuku,TOKIMEKI Runners,2018-11-21,https://youtu.be/5R1l0xrtVOc,,チェイス!
Evergreen,Evergreen,Evergreen,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito;近谷直之,Ryota Saito;Naoyuki Chikatani,Ryota Saito;치카타니 나오유키,Ryota Saito;近谷直之,Ryota Saito;Naoyuki Chikatani,Ryota Saito;치카타니 나오유키,Ryota Saito;近谷直之,Ryota Saito;Naoyuki Chikatani,Ryota Saito;치카타니 나오유키,TOKIMEKI Runners,2018-11-21,https://youtu.be/AQAYnluAxd8,,エバーグリーン
ドキピポ☆エモーション,Doki Pipo☆Emotion,도키피포☆이모션,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA;菊池博人,NOVECHIKA;Hiroto Kikuchi,NOVECHIKA;키쿠치 히로토,NOVECHIKA;菊池博人,NOVECHIKA;Hiroto Kikuchi,NOVECHIKA;키쿠치 히로토,NOVECHIKA;菊池博人,NOVECHIKA;Hiroto Kikuchi,NOVECHIKA;키쿠치 히로토,TOKIMEKI Runners,2018-11-21,https://youtu.be/Otar-6a710Y,,ドキピポ　エモーション
開花宣言,Kaika Sengen,개화선언,上原歩夢,Ayumu Uehara,우에하라 아유무,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,遠藤ナオキ,Naoki Endo,엔도 나오키,Love U my friends,2019-10-02,https://youtu.be/EBnpWRCONnM,,かいかせんげん
☆ワンダーランド☆,☆Wonderland☆,☆원더랜드☆,中須かすみ,Kasumi Nakasu,나카스 카스미,鈴木エレカ,Ereca Suzuki,스즈키 에레카,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,Love U my friends,2019-10-02,https://youtu.be/01kjQV-7fQQ,,ワンダーランド
オードリー ,Audrey,오드리,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,月見草,Tsukimisou,츠키미소오,月見草,Tsukimisou,츠키미소오,菊地博人,Hiroto Kikuchi,키쿠치 히로토,Love U my friends,2019-10-02,https://youtu.be/_D8EIlJi7wE,,オードリー 
Wish,Wish,Wish,朝香果林,Karin Asaka,아사카 카린,BEATNINE,BEATNINE,BEATNINE,Carlos K.,Carlos K.,Carlos K.,Carlos K.;JOE,Carlos K.;JOE,Carlos K.;JOE,Love U my friends,2019-10-02,https://youtu.be/Ifp-5U4VGok,,ウィッシュ
友 & 愛,Yuu & Ai,친구 & 사랑,宮下 愛,Ai Miyashita,미야시타 아이,Akira Sunset,Akira Sunset,Akira Sunset,Carlos K.,Carlos K.,Carlos K.,Carlos K.;Konnie Aoki,Carlos K.;Konnie Aoki,Carlos K.;Konnie Aoki,Love U my friends,2019-10-02,https://youtu.be/lo3OB-a7TCg,,ゆう アンド あい
My Own Fairy-Tale,My Own Fairy-Tale,My Own Fairy-Tale,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito,Ryota Saito,Ryota Saito,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Love U my friends,2019-10-02,https://youtu.be/a-WarIBtd3w,,マイ・オウン・フェアリーテイル
MELODY,MELODY,MELODY,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ,Ereca Suzuki,스즈키 에레카,鈴木まなか;Hiroki Sagawa,Manaka Suzuki;Hiroki Sagawa,스즈키 마나카;Hiroki Sagawa,サイトウ リョースケ,Ryosuke Saito,사이토 료스케,Love U my friends,2019-10-02,https://youtu.be/PvVgqYSsQ2Y,,メロディー
声繋ごうよ,Koe Tsunagou yo,목소리를 잇자,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito,Ryota Saito,Ryota Saito,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,Love U my friends,2019-10-02,https://youtu.be/gIBdVbN5QKs,,こえつなごうよ
テレテレパシー,Teletelepathy,텔레텔레파시,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA;クボナオキ,NOVECHIKA;Naoki Kubo,NOVECHIKA;쿠보 나오키,クボナオキ,Naoki Kubo,쿠보 나오키,縄田寿志,Hisashi Nawata,나와타 히사시,Love U my friends,2019-10-02,https://youtu.be/KZ0Wr3UIvMw,,テレテレパシー
Love U my friends,Love U my friends,Love U my friends,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Kanata Okajima,Kanata Okajima,Kanata Okajima,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Love U my friends,2019-10-02,https://youtu.be/fNEuJHgPMtM,9 Members Ver.,ラブ・ユー・マイ・フレンズ
SUPER NOVA,SUPER NOVA,SUPER NOVA,DiverDiva,DiverDiva,DiverDiva,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,SUPER NOVA,2020-02-12,https://youtu.be/dso45gIdbjA,DiverDiva 1st,スーパーノヴァ
Love Triangle,Love Triangle,Love Triangle,DiverDiva,DiverDiva,DiverDiva,Ayaka Miyake;栗原暁(Jazzin'park),Ayaka Miyake;Satoru Kurihara(Jazzin'park),Ayaka Miyake;쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park);栗原暁(Jazzin'park),Singo Kubota(Jazzin'park);Satoru Kurihara(Jazzin'park),쿠보타 신고(Jazzin'park);쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park),Singo Kubota(Jazzin'park),쿠보타 신고(Jazzin'park),SUPER NOVA,2020-02-12,https://youtu.be/WBETX2ONF8w,DiverDiva 1st,ラブ トライアングル
Dream Land ! Dream World ! ,Dream Land! Dream World!,Dream Land! Dream World!,A·ZU·NA,A·ZU·NA,A·ZU·NA,hot tears,hot tears,hot tears,景山将太,Shota Kageyama,카게야마 쇼타,MEGAneCOMIC,MEGAneCOMIC,MEGAneCOMIC,Dream Land ! Dream World ! ,2020-02-12,https://youtu.be/TRzHibBAFJs,A·ZU·NA 1st,ドリームランド！ドリームワールド！
Cheer for you!!,Cheer for you!!,Cheer for you!!,A·ZU·NA,A·ZU·NA,A·ZU·NA,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,Dream Land ! Dream World ! ,2020-02-12,https://youtu.be/8EoUknt_Ji4,A·ZU·NA 1st,チア・フォー・ユー！！
Sing & Smile!!,Sing & Smile!!,Sing & Smile!!,QU4RTZ,QU4RTZ,QU4RTZ,Carlos K.,Carlos K.,Carlos K.,丸谷マナブ;Carlos K.,Manabu Marutani;Carlos K.,마루타니 마나부;Carlos K.,Carlos K.,Carlos K.,Carlos K.,Sing & Smile!!,2020-02-12,https://youtu.be/9SEiiwiiha4,QU4RTZ 1st,シング アンド スマイル
Beautiful Moonlight,Beautiful Moonlight,Beautiful Moonlight,QU4RTZ,QU4RTZ,QU4RTZ,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,ygarshy,ygarshy,ygarshy,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,Sing & Smile!!,2020-02-12,https://youtu.be/CQdEPi9UJvY,QU4RTZ 1st,ビューティフルムーンライト
無敵級*ビリーバー,Muteki-kyuu*Believer,무적급*빌리버,中須かすみ,Kasumi Nakasu,나카스 카스미,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,DECO*27,DECO*27,DECO*27,Rockwell,Rockwell,Rockwell,無敵級*ビリーバー,2020-07-29,https://youtu.be/-Li6HT1mv0U,,むてききゅうビリーバー
未来ハーモニー,Mirai Harmony,미래 하모니,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Kanata Okajima,Kanata Okajima,Kanata Okajima,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,Akira Sunset;ulala,無敵級*ビリーバー,2020-07-29,https://youtu.be/H2VuAyjWDyU,,みらいハーモニー
Say Good-Bye 涙,Say Good-Bye Namida,Say Good-Bye 눈물,上原歩夢,Ayumu Uehara,우에하라 아유무,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,遠藤ナオキ,Naoki Endo,엔도 나오키,Just Believe!!!,2020-09-02,https://youtu.be/vkQ3UdLk3hw,,セイ グッバイ なみだ
Margaret,Margaret,Margaret,中須かすみ,Kasumi Nakasu,나카스 카스미,鈴木エレカ,Ereca Suzuki,스즈키 에레카,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Just Believe!!!,2020-09-02,https://youtu.be/wejUZYmLkqc,,マーガレット
やがてひとつの物語,Yagate Hitotsu no Monogatari,이윽고 하나의 이야기,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,月見草,Tsukimisou,츠키미소오,月見草,Tsukimisou,츠키미소오,菊地博人,Hiroto Kikuchi,키쿠치 히로토,Just Believe!!!,2020-09-02,https://youtu.be/JvURKZQdCDs,,やがてひとつのものがたり
Fire Bird,Fire Bird,Fire Bird,朝香果林,Karin Asaka,아사카 카린,BEATNINE,BEATNINE,BEATNINE,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Carlos K.,Just Believe!!!,2020-09-02,https://youtu.be/8bjQg-RUiRc,,ファイアバード
楽しいの天才,Tanoshii no Tensai,즐거움의 천재,宮下 愛,Ai Miyashita,미야시타 아이,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Carlos K.,Carlos K.,Carlos K.,Just Believe!!!,2020-09-02,https://youtu.be/ZnyCUODvfKQ,,たのしいのてんさい
Märchen Star,Märchen Star,메르헨 스타,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito,Ryota Saito,Ryota Saito,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Just Believe!!!,2020-09-02,https://youtu.be/4PhvNBMo9iY,,メルヘンスター
LIKE IT! LOVE IT!,LIKE IT! LOVE IT!,LIKE IT! LOVE IT!,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ,Ereca Suzuki,스즈키 에레카,鈴木まなか;Hiroki Sagawa;要田健,Manaka Suzuki;Hiroki Sagawa;Takeru Yoda,스즈키 마나카;Hiroki Sagawa;요다 타케루,要田健,Takeru Yoda,요다 타케루,Just Believe!!!,2020-09-02,https://youtu.be/RINkOGcXJKQ,,ライク イット！ ラブ イット！
哀温ノ詩,Aion no Uta,애온의 시,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito,Ryota Saito,Ryota Saito,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,Just Believe!!!,2020-09-02,https://youtu.be/cbmJLrkdv3c,,あいおんのうた
アナログハート,Analog Heart,아날로그 하트,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA,NOVECHIKA,NOVECHIKA,藤原彩豊;米澤森人,Ayato Fujiwara;Morito Yonezawa,후지와라 아야토;요네자와 모리토,JOE;藤原彩豊,JOE;Ayato Fujiwara,JOE;후지와라 아야토,Just Believe!!!,2020-09-02,https://youtu.be/5LSOw13RGKs,,アナログハート
決意の光,Ketsui no Hikari,결의의 빛,三船栞子,Shioriko Mifune,미후네 시오리코,中村 歩;菊池博人,Ayumu Nakamura;Hiroto Kikuchi,나카무라 아유무;키쿠치 히로토,中村 歩;菊池博人,Ayumu Nakamura;Hiroto Kikuchi,나카무라 아유무;키쿠치 히로토,中村 歩;菊池博人,Ayumu Nakamura;Hiroto Kikuchi,나카무라 아유무;키쿠치 히로토,Just Believe!!!,2020-09-02,https://youtu.be/I8JYMvUpTI4,,けついのひかり
TOKIMEKI Runners (スクスタストーリー17章揷入歌Ver.),TOKIMEKI Runners (SIFAS Chapter 17 Ver.),TOKIMEKI Runners (스쿠스타 스토리 챕터 17 Ver.),虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,畑 亜貴,Aki Hata,하타 아키,矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),Just Believe!!!,2020-09-02,https://youtu.be/RMJ1TT5Gh1g,10 Members Ver.,ときめきランナーズ (スクスタストーリー17しょう そうにゅうかヴァージョン)
Just Believe!!!,Just Believe!!!,Just Believe!!!,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,ygarshy;PASSiON KiNG,Just Believe!!!,2020-09-02,https://youtu.be/eXdOdtfAv6M,,ジャストビリーブ!!
虹色Passions!,Nijiiro Passions!,무지개색 Passions!,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,虹色Passions!,2020-10-21,https://youtu.be/KAEEhyfWtrw,,にじいろパッションズ!!
Sweet Eyes,Sweet Eyes,Sweet Eyes,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,Carlos K.;田中マッシュ,Carlos K.;Tanaka Mush,Carlos K.;타나카 맛슈,Carlos K.;田中マッシュ,Carlos K.;Tanaka Mush,Carlos K.;타나카 맛슈,虹色Passions!,2020-10-21,https://youtu.be/MpAUJ36fq3g,,スウィートアイズ
